Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
3-Oct-15,14:30,West Coast,Hawthorn,MCG,61,107,Y,8,13,16,11,2.39,1.58
26-Sep-15,17:45,West Coast,North Melbourne,Domain Stadium,80,55,Y,10,20,7,13,1.19,4.74
25-Sep-15,18:20,Fremantle,Hawthorn,Domain Stadium,67,94,Y,10,7,15,4,2.25,1.65
19-Sep-15,19:20,Sydney,North Melbourne,ANZ Stadium,51,77,Y,7,9,11,11,1.62,2.3
18-Sep-15,19:50,Hawthorn,Adelaide,MCG,135,61,Y,21,9,8,13,1.3,3.56
13-Sep-15,15:20,Richmond,North Melbourne,MCG,88,105,Y,14,4,15,15,1.58,2.38
12-Sep-15,19:20,Western Bulldogs,Adelaide,MCG,102,109,Y,14,18,16,13,1.9,1.9
12-Sep-15,13:10,Fremantle,Sydney,Domain Stadium,69,60,Y,10,9,7,18,1.33,3.35
11-Sep-15,18:20,West Coast,Hawthorn,Domain Stadium,96,64,Y,14,12,9,10,2.39,1.57
6-Sep-15,15:20,Collingwood,Essendon,MCG,92,95,,14,8,14,11,1.28,3.65
6-Sep-15,13:10,Melbourne,GWS Giants,Etihad Stadium,103,77,,15,13,11,11,2.35,1.59
5-Sep-15,17:40,West Coast,St Kilda,Domain Stadium,125,30,,18,17,4,6,1.04,10.33
5-Sep-15,19:25,Sydney,Gold Coast,SCG,127,64,,19,13,9,10,1.04,10.57
5-Sep-15,16:40,Hawthorn,Carlton,MCG,113,56,,17,11,8,8,1.01,14.36
5-Sep-15,15:20,Port Adelaide,Fremantle,Adelaide Oval,122,53,,18,14,8,5,1.06,8.64
5-Sep-15,13:45,Brisbane,Western Bulldogs,Gabba,130,122,,19,16,19,8,4.24,1.22
5-Sep-15,13:05,Geelong,Adelaide,Simonds Stadium,119,80,,17,17,11,14,2.16,1.69
4-Sep-15,19:50,Richmond,North Melbourne,Etihad Stadium,108,67,,16,12,10,7,1.08,8.03
30-Aug-15,14:40,Fremantle,Melbourne,Domain Stadium,108,54,,17,6,8,6,1.07,8.37
30-Aug-15,15:20,St Kilda,Sydney,Etihad Stadium,38,135,,4,14,20,15,4.16,1.23
30-Aug-15,13:10,Adelaide,West Coast,Adelaide Oval,126,69,,19,12,10,9,2.01,1.78
29-Aug-15,19:20,Essendon,Richmond,MCG,47,74,,7,5,10,14,6.35,1.12
29-Aug-15,19:20,Gold Coast,Port Adelaide,Metricon Stadium,51,88,,7,9,12,16,3.22,1.35
29-Aug-15,16:35,North Melbourne,Western Bulldogs,Etihad Stadium,73,96,,10,13,14,12,1.63,2.27
29-Aug-15,14:10,Hawthorn,Brisbane,Aurora Stadium,134,62,,21,8,9,8,1.02,12.6
29-Aug-15,13:45,GWS Giants,Carlton,Spotless Stadium,132,51,,20,12,7,9,1.2,4.59
28-Aug-15,19:50,Geelong,Collingwood,MCG,62,110,,9,8,17,8,1.41,2.93
23-Aug-15,14:40,West Coast,Western Bulldogs,Domain Stadium,162,85,,25,12,13,7,1.3,3.56
23-Aug-15,15:20,Carlton,Melbourne,MCG,78,55,,12,6,7,13,3.08,1.38
23-Aug-15,13:10,North Melbourne,Fremantle,Etihad Stadium,94,83,,14,10,12,11,1.66,2.23
22-Aug-15,19:10,Adelaide,Brisbane,Adelaide Oval,131,44,,20,11,6,8,1.07,8.81
22-Aug-15,19:20,St Kilda,Geelong,Etihad Stadium,97,97,,14,13,15,7,4.4,1.21
22-Aug-15,16:35,Gold Coast,Essendon,Metricon Stadium,97,95,,14,13,14,11,1.52,2.52
22-Aug-15,14:10,GWS Giants,Sydney,Spotless Stadium,44,133,,6,8,20,13,2.53,1.52
22-Aug-15,13:45,Collingwood,Richmond,MCG,56,147,,7,14,23,9,2.92,1.41
21-Aug-15,19:50,Hawthorn,Port Adelaide,Etihad Stadium,86,108,,13,8,16,12,1.07,8.64
16-Aug-15,14:40,Fremantle,West Coast,Domain Stadium,80,104,,11,14,15,14,1.64,2.26
16-Aug-15,15:20,Western Bulldogs,Melbourne,Etihad Stadium,153,55,,24,9,8,7,1.22,4.28
16-Aug-15,13:10,Richmond,Gold Coast,MCG,138,55,,22,6,8,7,1.12,6.34
15-Aug-15,19:20,Brisbane,Carlton,Gabba,131,67,,20,11,9,13,1.64,2.27
15-Aug-15,19:20,Geelong,Hawthorn,MCG,85,121,,12,13,19,7,4.17,1.23
15-Aug-15,16:05,Port Adelaide,GWS Giants,Adelaide Oval,111,90,,16,15,13,12,1.26,3.91
15-Aug-15,14:10,North Melbourne,St Kilda,Blundstone Arena,120,83,,18,12,11,17,1.16,5.23
